1.8000e+02	5.8539e-03	1.0831e-02	5.6987e-03	1.7082e-03	
1.8036e+02	5.8542e-03	1.0344e-02	5.7678e-03	1.7778e-03	
1.8072e+02	5.8457e-03	9.8421e-03	5.8267e-03	1.8479e-03	
1.8108e+02	5.8283e-03	9.3295e-03	5.8753e-03	1.9184e-03	
1.8144e+02	5.8022e-03	8.8107e-03	5.9132e-03	1.9890e-03	
1.8180e+02	5.7677e-03	8.2902e-03	5.9402e-03	2.0595e-03	
1.8216e+02	5.7248e-03	7.7720e-03	5.9563e-03	2.1298e-03	
1.8252e+02	5.6739e-03	7.2599e-03	5.9612e-03	2.1996e-03	
1.8288e+02	5.6153e-03	6.7573e-03	5.9551e-03	2.2686e-03	
1.8324e+02	5.5492e-03	6.2673e-03	5.9380e-03	2.3364e-03	
1.8360e+02	5.4760e-03	5.7927e-03	5.9099e-03	2.4028e-03	
1.8396e+02	5.3961e-03	5.3357e-03	5.8712e-03	2.4672e-03	
1.8432e+02	5.3098e-03	4.8983e-03	5.8219e-03	2.5294e-03	
1.8468e+02	5.2175e-03	4.4821e-03	5.7625e-03	2.5887e-03	
1.8504e+02	5.1197e-03	4.0882e-03	5.6932e-03	2.6448e-03	
1.8540e+02	5.0168e-03	3.7175e-03	5.6145e-03	2.6971e-03	
1.8576e+02	4.9091e-03	3.3703e-03	5.5268e-03	2.7449e-03	
1.8612e+02	4.7972e-03	3.0470e-03	5.4305e-03	2.7879e-03	
1.8648e+02	4.6815e-03	2.7474e-03	5.3263e-03	2.8254e-03	
1.8684e+02	4.5624e-03	2.4712e-03	5.2147e-03	2.8569e-03	
1.8720e+02	4.4404e-03	2.2177e-03	5.0962e-03	2.8819e-03	
1.8756e+02	4.3159e-03	1.9862e-03	4.9715e-03	2.8999e-03	
1.8792e+02	4.1894e-03	1.7758e-03	4.8412e-03	2.9105e-03	
1.8828e+02	4.0612e-03	1.5854e-03	4.7059e-03	2.9133e-03	
1.8864e+02	3.9317e-03	1.4140e-03	4.5663e-03	2.9081e-03	
1.8900e+02	3.8015e-03	1.2603e-03	4.4230e-03	2.8947e-03	
1.8936e+02	3.6708e-03	1.1232e-03	4.2767e-03	2.8730e-03	
1.8972e+02	3.5400e-03	1.0013e-03	4.1279e-03	2.8431e-03	
1.9008e+02	3.4095e-03	8.9346e-04	3.9773e-03	2.8050e-03	
1.9044e+02	3.2796e-03	7.9843e-04	3.8256e-03	2.7592e-03	
1.9080e+02	3.1506e-03	7.1501e-04	3.6733e-03	2.7058e-03	
1.9116e+02	3.0229e-03	6.4209e-04	3.5209e-03	2.6453e-03	
1.9152e+02	2.8967e-03	5.7856e-04	3.3690e-03	2.5783e-03	
1.9188e+02	2.7723e-03	5.2342e-04	3.2181e-03	2.5054e-03	
1.9224e+02	2.6500e-03	4.7570e-04	3.0687e-03	2.4272e-03	
1.9260e+02	2.5298e-03	4.3453e-04	2.9213e-03	2.3445e-03	
1.9296e+02	2.4122e-03	3.9907e-04	2.7762e-03	2.2580e-03	
1.9332e+02	2.2972e-03	3.6859e-04	2.6338e-03	2.1685e-03	
1.9368e+02	2.1850e-03	3.4242e-04	2.4945e-03	2.0767e-03	
1.9404e+02	2.0757e-03	3.1993e-04	2.3586e-03	1.9833e-03	
1.9440e+02	1.9696e-03	3.0059e-04	2.2263e-03	1.8891e-03	
1.9476e+02	1.8666e-03	2.8391e-04	2.0979e-03	1.7948e-03	
1.9512e+02	1.7669e-03	2.6946e-04	1.9736e-03	1.7009e-03	
1.9548e+02	1.6705e-03	2.5686e-04	1.8536e-03	1.6081e-03	
1.9584e+02	1.5776e-03	2.4578e-04	1.7379e-03	1.5169e-03	
1.9620e+02	1.4881e-03	2.3595e-04	1.6268e-03	1.4277e-03	
1.9656e+02	1.4021e-03	2.2711e-04	1.5202e-03	1.3408e-03	
1.9692e+02	1.3196e-03	2.1907e-04	1.4183e-03	1.2567e-03	
1.9728e+02	1.2405e-03	2.1164e-04	1.3210e-03	1.1756e-03	
1.9764e+02	1.1649e-03	2.0467e-04	1.2284e-03	1.0977e-03	
1.9800e+02	1.0928e-03	1.9806e-04	1.1404e-03	1.0231e-03	
1.9836e+02	1.0240e-03	1.9170e-04	1.0569e-03	9.5190e-04	
1.9872e+02	9.5853e-04	1.8551e-04	9.7796e-04	8.8421e-04	
1.9908e+02	8.9634e-04	1.7944e-04	9.0342e-04	8.2003e-04	
1.9944e+02	8.3735e-04	1.7344e-04	8.3320e-04	7.5933e-04	
1.9980e+02	7.8148e-04	1.6748e-04	7.6718e-04	7.0209e-04	
2.0016e+02	7.2864e-04	1.6153e-04	7.0525e-04	6.4822e-04	
2.0052e+02	6.7875e-04	1.5559e-04	6.4726e-04	5.9764e-04	
2.0088e+02	6.3170e-04	1.4965e-04	5.9308e-04	5.5024e-04	
2.0124e+02	5.8741e-04	1.4372e-04	5.4255e-04	5.0592e-04	
2.0160e+02	5.4575e-04	1.3779e-04	4.9552e-04	4.6456e-04	
2.0196e+02	5.0664e-04	1.3188e-04	4.5184e-04	4.2601e-04	
2.0232e+02	4.6997e-04	1.2600e-04	4.1135e-04	3.9016e-04	
2.0268e+02	4.3562e-04	1.2016e-04	3.7389e-04	3.5687e-04	
2.0304e+02	4.0349e-04	1.1439e-04	3.3929e-04	3.2600e-04	
2.0340e+02	3.7347e-04	1.0869e-04	3.0740e-04	2.9743e-04	
2.0376e+02	3.4546e-04	1.0309e-04	2.7806e-04	2.7101e-04	
2.0412e+02	3.1934e-04	9.7599e-05	2.5112e-04	2.4664e-04	
